,count_more_than_100_trans
0,18
1,16
2,16
3,17
4,18
5,17
6,17
7,16
8,16
9,17
10,17
11,17
12,16
13,16
14,16
15,17
16,16
17,17
18,17
19,16
20,16
21,17
22,16
23,16
24,16
25,16
26,15
27,17
28,18
29,15
30,16
31,16
32,16
33,17
34,16
35,16
36,16
37,15
38,15
39,17
40,16
41,17
42,16
43,17
44,17
45,17
46,18
47,16
48,17
49,15
50,17
51,16
52,18
53,18
54,15
55,16
56,17
57,17
58,17
59,17
60,18
61,18
62,17
63,15
64,16
65,15
66,17
67,15
68,16
69,15
70,16
71,16
72,17
73,16
74,15
75,16
76,16
77,15
78,16
79,15
80,16
81,15
82,16
83,15
84,14
85,17
86,17
87,16
88,15
89,15
90,16
91,16
92,16
93,18
94,17
95,16
96,18
97,18
98,17
99,18
